---,Elapsed Time,Time.,Channel No.,---.1,CH010,CH011,CH012,CH014,CH015,CH016,CH017,CH018,CH019,CH021,CH022,CH023,CH024,CH025,CH027,CH000,CH001
5,0.778,2018/02/11 19:05:41,2018/02/11,19:05:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,13.3
6,0.972,2018/02/11 19:17:21,2018/02/11,19:17:21,2,3,1,1,1,2,3,0,4,1,0,0,1,0,1,15.0,13.0
7,1.167,2018/02/11 19:29:01,2018/02/11,19:29:01,4,7,1,2,0,2,5,1,6,2,1,1,1,0,2,15.0,13.4
8,1.361,2018/02/11 19:40:41,2018/02/11,19:40:41,6,9,2,4,1,4,7,2,9,2,2,1,2,2,2,15.0,13.3
9,1.556,2018/02/11 19:52:21,2018/02/11,19:52:21,8,11,3,6,1,4,9,3,11,2,2,2,2,2,3,15.0,12.9
10,1.75,2018/02/11 20:04:01,2018/02/11,20:04:01,9,12,4,7,1,6,11,3,13,3,3,3,4,3,4,15.0,12.7
11,1.944,2018/02/11 20:15:41,2018/02/11,20:15:41,11,14,4,8,2,6,12,3,15,3,4,3,4,4,5,15.0,12.4
12,2.1390000000000002,2018/02/11 20:27:21,2018/02/11,20:27:21,12,14,5,9,2,7,14,4,16,4,4,3,5,4,6,15.0,12.3
13,2.333,2018/02/11 20:39:01,2018/02/11,20:39:01,13,15,6,10,3,8,15,5,17,4,5,4,6,5,7,15.0,12.2
14,2.528,2018/02/11 20:50:41,2018/02/11,20:50:41,14,16,6,11,3,8,17,4,18,5,5,5,7,6,8,15.0,12.1
15,2.722,2018/02/11 21:02:21,2018/02/11,21:02:21,15,17,6,12,3,9,17,5,19,5,6,5,7,6,8,15.0,12.1
16,2.917,2018/02/11 21:14:01,2018/02/11,21:14:01,16,18,7,13,4,10,18,6,20,6,6,6,8,7,9,15.0,12.1
17,3.111,2018/02/11 21:25:41,2018/02/11,21:25:41,16,19,7,13,4,10,19,6,20,6,7,7,8,8,10,15.0,12.1
18,3.306,2018/02/11 21:37:21,2018/02/11,21:37:21,17,20,8,14,5,11,20,6,21,7,7,7,9,8,10,15.0,12.0
19,3.5,2018/02/11 21:49:01,2018/02/11,21:49:01,18,21,8,15,4,11,22,6,21,7,7,7,10,9,11,15.0,11.9
20,3.694,2018/02/11 22:00:41,2018/02/11,22:00:41,18,22,9,15,5,12,22,6,22,8,8,7,11,9,12,15.0,11.9
21,3.889,2018/02/11 22:12:21,2018/02/11,22:12:21,18,23,9,16,6,12,23,7,24,8,8,8,11,10,12,15.0,11.9
22,4.083,2018/02/11 22:24:01,2018/02/11,22:24:01,19,23,9,16,5,13,24,7,25,8,8,9,11,10,13,15.0,12.1
23,4.2780000000000005,2018/02/11 22:35:41,2018/02/11,22:35:41,19,23,10,16,6,14,24,7,25,9,8,9,12,11,13,15.0,12.1
24,4.4719999999999995,2018/02/11 22:47:21,2018/02/11,22:47:21,20,25,10,17,5,14,25,8,27,9,8,9,12,12,13,15.0,12.1
25,4.667,2018/02/11 22:59:01,2018/02/11,22:59:01,20,25,11,18,6,14,26,8,27,9,9,10,12,12,14,15.0,12.3
26,4.861000000000001,2018/02/11 23:10:41,2018/02/11,23:10:41,21,26,11,18,7,15,27,8,28,10,9,10,13,12,14,15.0,12.2
27,5.056,2018/02/11 23:22:21,2018/02/11,23:22:21,21,26,11,18,7,15,27,8,29,10,9,11,13,13,15,15.0,12.4
28,5.25,2018/02/11 23:34:01,2018/02/11,23:34:01,22,27,11,19,7,15,28,8,29,10,10,11,13,13,16,15.0,13.2
29,5.444,2018/02/11 23:45:41,2018/02/11,23:45:41,22,28,12,19,7,16,28,8,30,11,10,11,14,14,16,15.0,13.0
30,5.638999999999999,2018/02/11 23:57:21,2018/02/11,23:57:21,22,28,12,19,7,16,29,9,30,11,9,11,15,15,16,15.0,12.8
31,5.832999999999999,2018/02/12 00:09:01,2018/02/12,00:09:01,23,29,12,20,8,17,30,9,31,11,10,12,15,15,17,15.0,12.9
32,6.028,2018/02/12 00:20:41,2018/02/12,00:20:41,22,30,12,20,8,17,30,9,30,11,10,12,15,15,17,15.0,12.7
33,6.222,2018/02/12 00:32:21,2018/02/12,00:32:21,23,30,13,21,8,17,31,9,31,12,11,12,16,16,18,15.0,12.6
34,6.417000000000001,2018/02/12 00:44:01,2018/02/12,00:44:01,23,31,13,21,8,17,32,9,31,12,11,13,16,16,18,15.0,12.7
35,6.611000000000001,2018/02/12 00:55:41,2018/02/12,00:55:41,23,31,14,22,8,18,32,10,32,12,11,13,16,16,19,15.0,12.6
36,6.806,2018/02/12 01:07:21,2018/02/12,01:07:21,24,31,14,22,8,18,33,10,32,12,11,14,16,16,19,15.0,12.5
37,7.0,2018/02/12 01:19:01,2018/02/12,01:19:01,24,32,14,22,8,19,33,9,32,12,11,14,17,17,19,15.0,12.6
38,7.194,2018/02/12 01:30:41,2018/02/12,01:30:41,25,32,14,23,8,19,33,10,33,13,11,14,16,17,20,15.0,12.5
39,7.388999999999999,2018/02/12 01:42:21,2018/02/12,01:42:21,25,33,14,23,8,19,34,10,34,13,11,14,17,18,20,15.0,12.4
40,7.582999999999999,2018/02/12 01:54:01,2018/02/12,01:54:01,25,33,15,23,8,19,34,10,34,13,11,14,17,18,20,15.0,12.5
41,7.778,2018/02/12 02:05:41,2018/02/12,02:05:41,25,33,15,23,9,20,35,11,35,14,12,14,18,18,20,15.0,12.4
42,7.972,2018/02/12 02:17:21,2018/02/12,02:17:21,25,34,15,23,9,20,35,10,35,14,11,15,18,18,21,15.0,12.5
43,8.167,2018/02/12 02:29:01,2018/02/12,02:29:01,26,34,15,23,9,20,36,10,35,14,12,15,18,19,22,15.0,12.6
44,8.361,2018/02/12 02:40:41,2018/02/12,02:40:41,26,35,15,24,9,20,36,11,36,14,12,15,18,19,22,15.0,12.5
45,8.556000000000001,2018/02/12 02:52:21,2018/02/12,02:52:21,26,35,16,24,9,21,36,11,36,14,12,15,18,19,22,15.0,12.7
46,8.75,2018/02/12 03:04:01,2018/02/12,03:04:01,26,35,16,24,9,21,37,11,36,14,12,15,19,20,22,15.0,12.7
47,8.943999999999999,2018/02/12 03:15:41,2018/02/12,03:15:41,27,35,16,25,9,21,37,11,36,14,12,16,19,20,23,15.0,12.7
48,9.139,2018/02/12 03:27:21,2018/02/12,03:27:21,26,35,16,25,9,22,38,11,36,15,12,16,19,20,23,15.0,12.8
49,9.333,2018/02/12 03:39:01,2018/02/12,03:39:01,27,36,16,25,9,22,38,11,36,15,13,16,19,20,23,15.0,12.8
50,9.527999999999999,2018/02/12 03:50:41,2018/02/12,03:50:41,27,36,17,25,9,22,38,11,36,16,12,16,19,21,23,15.0,12.6
51,9.722000000000001,2018/02/12 04:02:21,2018/02/12,04:02:21,27,36,17,26,9,22,39,12,37,15,12,16,19,21,23,15.0,12.6
52,9.917,2018/02/12 04:14:01,2018/02/12,04:14:01,27,36,17,26,9,22,39,12,36,16,13,17,19,21,24,15.0,12.5
53,10.111,2018/02/12 04:25:41,2018/02/12,04:25:41,28,37,17,26,9,22,39,12,37,16,12,17,20,22,24,15.0,12.3
54,10.306,2018/02/12 04:37:21,2018/02/12,04:37:21,28,37,17,26,10,23,39,11,37,16,13,17,20,22,25,15.0,12.3
55,10.5,2018/02/12 04:49:01,2018/02/12,04:49:01,28,38,18,26,10,23,41,12,37,16,13,17,20,23,25,15.0,12.3
56,10.694,2018/02/12 05:00:41,2018/02/12,05:00:41,28,38,17,26,10,23,41,12,37,16,13,18,20,23,25,15.0,12.6
57,10.889000000000001,2018/02/12 05:12:21,2018/02/12,05:12:21,28,38,18,26,10,23,41,12,37,16,13,18,20,24,25,15.0,12.4
58,11.083,2018/02/12 05:24:01,2018/02/12,05:24:01,28,37,18,26,9,23,41,12,38,17,13,18,20,23,26,15.0,12.6
59,11.277999999999999,2018/02/12 05:35:41,2018/02/12,05:35:41,28,38,18,27,10,23,42,12,37,16,13,17,21,23,26,15.0,12.2
60,11.472000000000001,2018/02/12 05:47:21,2018/02/12,05:47:21,29,38,19,27,10,24,42,12,38,17,13,18,20,23,26,15.0,12.2
61,11.667,2018/02/12 05:59:01,2018/02/12,05:59:01,29,38,19,27,10,24,42,12,38,17,13,18,21,23,26,15.0,11.9
62,11.860999999999999,2018/02/12 06:10:41,2018/02/12,06:10:41,29,39,19,28,10,24,43,12,39,17,13,18,21,24,26,15.0,11.6
63,12.056,2018/02/12 06:22:21,2018/02/12,06:22:21,29,39,19,28,10,24,43,12,39,17,13,18,21,24,27,15.0,11.6
64,12.25,2018/02/12 06:34:01,2018/02/12,06:34:01,30,39,19,28,10,24,43,12,39,17,14,18,21,25,27,15.0,11.4
65,12.444,2018/02/12 06:45:41,2018/02/12,06:45:41,29,39,19,27,10,25,43,13,39,18,13,18,21,24,27,15.0,11.3
66,12.639000000000001,2018/02/12 06:57:21,2018/02/12,06:57:21,29,39,19,28,10,25,43,13,39,17,14,19,22,25,27,15.0,11.4
67,12.833,2018/02/12 07:09:01,2018/02/12,07:09:01,30,39,19,28,10,25,44,12,39,18,14,19,21,25,28,15.0,11.3
68,13.027999999999999,2018/02/12 07:20:41,2018/02/12,07:20:41,30,40,19,28,10,25,44,13,39,18,13,20,21,25,28,15.0,11.4
69,13.222000000000001,2018/02/12 07:32:21,2018/02/12,07:32:21,30,40,19,28,10,25,44,13,40,19,14,19,21,26,28,15.0,11.5
70,13.417,2018/02/12 07:44:01,2018/02/12,07:44:01,30,40,20,28,10,26,45,13,40,18,13,19,22,25,28,15.0,11.5
71,13.610999999999999,2018/02/12 07:55:41,2018/02/12,07:55:41,31,40,20,28,11,26,45,13,40,18,14,20,22,26,28,15.0,11.6
72,13.806,2018/02/12 08:07:21,2018/02/12,08:07:21,31,40,20,29,11,26,46,13,40,19,14,19,22,26,29,15.0,11.7
73,14.0,2018/02/12 08:19:01,2018/02/12,08:19:01,30,41,20,29,10,26,46,13,40,19,14,20,22,26,29,15.0,11.8
74,14.194,2018/02/12 08:30:41,2018/02/12,08:30:41,31,41,20,29,11,26,46,13,40,19,14,20,23,26,29,15.0,12.0
75,14.389000000000001,2018/02/12 08:42:21,2018/02/12,08:42:21,31,41,20,29,11,27,46,13,40,18,14,20,22,26,29,15.0,12.1
76,14.583,2018/02/12 08:54:01,2018/02/12,08:54:01,31,41,21,29,10,26,47,13,40,19,14,20,23,27,29,15.0,12.2
77,14.777999999999999,2018/02/12 09:05:41,2018/02/12,09:05:41,31,41,21,29,11,26,46,14,42,19,14,20,23,27,30,15.0,13.0
78,14.972000000000001,2018/02/12 09:17:21,2018/02/12,09:17:21,31,42,21,29,11,27,47,13,41,20,14,20,23,27,30,15.0,12.9
79,15.167,2018/02/12 09:29:01,2018/02/12,09:29:01,31,41,21,30,11,27,47,13,42,20,14,20,23,27,30,15.0,12.8
80,15.360999999999999,2018/02/12 09:40:41,2018/02/12,09:40:41,31,42,21,30,11,27,47,14,42,20,14,20,23,28,30,15.0,12.8
81,15.556,2018/02/12 09:52:21,2018/02/12,09:52:21,32,42,21,30,11,27,48,14,42,20,14,21,23,28,31,15.0,12.6
82,15.75,2018/02/12 10:04:01,2018/02/12,10:04:01,32,42,21,31,11,27,47,14,42,20,14,21,23,28,31,15.0,12.9
83,15.944,2018/02/12 10:15:41,2018/02/12,10:15:41,32,42,22,31,11,27,49,14,43,20,15,21,23,29,31,15.0,12.8
84,16.139,2018/02/12 10:27:21,2018/02/12,10:27:21,32,42,22,31,11,27,49,14,43,20,14,21,23,29,31,15.0,12.9
85,16.333,2018/02/12 10:39:01,2018/02/12,10:39:01,32,42,22,31,11,27,49,14,45,20,15,21,23,29,31,15.0,13.3
86,16.528,2018/02/12 10:50:41,2018/02/12,10:50:41,32,42,22,34,11,27,49,14,45,21,15,21,23,28,31,15.0,13.3
87,16.722,2018/02/12 11:02:21,2018/02/12,11:02:21,32,42,22,34,11,27,49,14,45,21,15,21,23,28,32,15.0,13.3
88,16.917,2018/02/12 11:14:01,2018/02/12,11:14:01,32,43,22,36,11,27,49,14,46,21,15,21,23,29,32,15.0,13.6
89,17.111,2018/02/12 11:25:41,2018/02/12,11:25:41,32,43,22,35,11,28,50,14,48,20,15,21,23,29,32,15.0,13.9
90,17.305999999999997,2018/02/12 11:37:21,2018/02/12,11:37:21,32,43,22,36,11,28,50,14,51,21,14,22,24,29,32,15.0,14.1
91,17.5,2018/02/12 11:49:01,2018/02/12,11:49:01,32,43,23,35,11,28,50,14,53,21,15,22,25,29,32,15.0,14.1
92,17.694000000000003,2018/02/12 12:00:41,2018/02/12,12:00:41,33,43,24,38,11,28,50,14,69,21,15,22,25,29,32,15.0,14.3
93,17.889,2018/02/12 12:12:21,2018/02/12,12:12:21,33,42,24,38,11,28,50,15,69,21,15,22,25,30,32,15.0,14.4
94,18.083,2018/02/12 12:24:01,2018/02/12,12:24:01,33,42,24,38,11,28,50,14,59,21,15,22,25,30,32,15.0,14.4
95,18.278,2018/02/12 12:35:41,2018/02/12,12:35:41,33,43,24,38,11,29,50,15,54,21,15,23,25,30,33,15.0,14.3
96,18.472,2018/02/12 12:47:21,2018/02/12,12:47:21,33,43,24,38,11,29,51,15,48,21,15,23,26,30,33,15.0,14.5
97,18.667,2018/02/12 12:59:01,2018/02/12,12:59:01,34,43,24,39,11,30,51,15,41,21,16,23,26,31,33,15.0,15.2
98,18.861,2018/02/12 13:10:41,2018/02/12,13:10:41,33,43,24,39,11,29,52,15,37,21,16,23,26,31,33,15.0,15.4
99,19.055999999999997,2018/02/12 13:22:21,2018/02/12,13:22:21,34,43,24,39,12,29,52,15,26,22,15,23,26,31,34,15.0,15.6
100,19.25,2018/02/12 13:34:01,2018/02/12,13:34:01,34,44,25,39,12,30,52,15,20,22,15,23,26,31,34,15.0,16.0
101,19.444000000000003,2018/02/12 13:45:41,2018/02/12,13:45:41,34,44,24,39,12,30,52,15,16,22,16,23,26,31,34,15.0,16.1
102,19.639,2018/02/12 13:57:21,2018/02/12,13:57:21,35,45,25,39,11,30,53,16,10,22,16,24,26,32,34,15.0,16.0
103,19.833,2018/02/12 14:09:01,2018/02/12,14:09:01,34,46,25,40,12,30,53,16,7,22,16,23,26,32,35,15.0,15.9
104,20.028,2018/02/12 14:20:41,2018/02/12,14:20:41,34,45,26,40,12,30,53,15,6,22,16,24,26,32,35,15.0,15.8
105,20.222,2018/02/12 14:32:21,2018/02/12,14:32:21,35,46,25,40,12,31,54,15,5,23,16,24,27,32,35,15.0,15.6
106,20.417,2018/02/12 14:44:01,2018/02/12,14:44:01,35,46,25,40,12,30,53,16,4,23,16,24,27,33,35,15.0,15.6
107,20.611,2018/02/12 14:55:41,2018/02/12,14:55:41,35,46,26,40,12,31,53,16,4,23,16,24,27,32,35,15.0,15.7
108,20.805999999999997,2018/02/12 15:07:21,2018/02/12,15:07:21,35,46,26,40,12,31,53,16,5,23,16,24,27,33,36,15.0,15.7
109,21.0,2018/02/12 15:19:01,2018/02/12,15:19:01,35,46,26,40,12,31,54,16,4,23,16,24,27,33,36,15.0,15.7
110,21.194000000000003,2018/02/12 15:30:41,2018/02/12,15:30:41,35,47,25,41,12,31,54,15,4,23,16,24,27,32,35,15.0,15.7
111,21.389,2018/02/12 15:42:21,2018/02/12,15:42:21,35,47,26,41,12,31,55,16,4,23,16,24,27,33,36,15.0,15.6
112,21.583000000000002,2018/02/12 15:54:01,2018/02/12,15:54:01,35,48,26,41,12,31,54,16,4,23,16,24,27,33,35,15.0,15.3
113,21.778000000000002,2018/02/12 16:05:41,2018/02/12,16:05:41,35,48,26,41,12,31,55,15,4,23,17,24,27,34,36,15.0,14.9
114,21.971999999999998,2018/02/12 16:17:21,2018/02/12,16:17:21,36,48,26,41,12,31,55,16,3,23,16,25,27,33,36,15.0,14.7
115,22.166999999999998,2018/02/12 16:29:01,2018/02/12,16:29:01,35,49,26,41,12,31,55,16,3,23,16,25,27,33,37,15.0,14.7
116,22.361,2018/02/12 16:40:41,2018/02/12,16:40:41,36,49,26,41,12,32,55,16,3,23,16,25,27,33,37,15.0,14.7
117,22.555999999999997,2018/02/12 16:52:21,2018/02/12,16:52:21,35,49,26,42,12,32,56,16,3,24,16,25,27,34,37,15.0,14.7
118,22.75,2018/02/12 17:04:01,2018/02/12,17:04:01,36,50,27,46,13,32,55,16,3,23,16,25,27,34,36,15.0,14.7
119,22.944000000000003,2018/02/12 17:15:41,2018/02/12,17:15:41,36,51,26,116,13,32,55,17,3,24,15,24,27,35,37,15.0,14.7
120,23.139,2018/02/12 17:27:21,2018/02/12,17:27:21,36,51,27,118,12,32,56,16,3,24,15,25,27,35,38,15.0,14.7
121,23.333000000000002,2018/02/12 17:39:01,2018/02/12,17:39:01,36,51,27,121,12,32,56,16,3,24,15,24,27,35,38,15.0,14.5
122,23.528000000000002,2018/02/12 17:50:41,2018/02/12,17:50:41,35,51,26,123,12,31,56,17,3,24,15,25,27,35,38,15.0,14.2
123,23.721999999999998,2018/02/12 18:02:21,2018/02/12,18:02:21,36,51,27,123,12,32,55,17,3,24,15,25,28,35,38,15.0,13.9
124,23.916999999999998,2018/02/12 18:14:01,2018/02/12,18:14:01,36,52,27,124,12,32,56,17,3,24,15,24,27,36,38,15.0,13.9
125,24.111,2018/02/12 18:25:41,2018/02/12,18:25:41,36,52,27,125,12,32,56,17,3,24,15,26,27,35,38,15.0,13.7
126,24.305999999999997,2018/02/12 18:37:21,2018/02/12,18:37:21,36,52,27,125,12,32,56,16,3,24,16,25,27,36,39,15.0,13.6
127,24.5,2018/02/12 18:49:01,2018/02/12,18:49:01,36,52,27,125,12,32,56,17,3,24,15,25,28,35,38,15.0,13.4
128,24.694000000000003,2018/02/12 19:00:41,2018/02/12,19:00:41,36,52,27,125,12,32,56,17,4,24,15,25,28,35,39,15.0,13.3
129,24.889,2018/02/12 19:12:21,2018/02/12,19:12:21,36,52,27,125,12,32,57,17,3,25,15,26,27,36,39,15.0,13.2
130,25.083000000000002,2018/02/12 19:24:01,2018/02/12,19:24:01,37,53,27,126,12,32,57,16,3,25,15,26,28,36,39,15.0,13.1
131,25.278000000000002,2018/02/12 19:35:41,2018/02/12,19:35:41,37,53,27,126,13,33,57,17,3,25,15,25,28,36,39,15.0,13.1
132,25.471999999999998,2018/02/12 19:47:21,2018/02/12,19:47:21,37,53,28,126,12,33,57,16,4,25,15,26,28,36,39,15.0,13.1
133,25.666999999999998,2018/02/12 19:59:01,2018/02/12,19:59:01,36,53,28,126,12,33,58,17,3,25,15,25,28,36,39,15.0,13.2
134,25.861,2018/02/12 20:10:41,2018/02/12,20:10:41,36,53,28,126,12,33,57,17,4,25,15,25,28,36,39,15.0,13.2
135,26.055999999999997,2018/02/12 20:22:21,2018/02/12,20:22:21,37,54,28,126,13,33,57,17,4,25,15,26,28,37,39,15.0,13.2
136,26.25,2018/02/12 20:34:01,2018/02/12,20:34:01,37,53,28,126,12,33,58,17,4,25,15,25,28,36,39,15.0,13.3
137,26.444000000000003,2018/02/12 20:45:41,2018/02/12,20:45:41,37,53,28,127,13,33,58,17,4,25,16,26,28,37,39,15.0,13.3
138,26.639,2018/02/12 20:57:21,2018/02/12,20:57:21,37,54,28,127,12,33,58,17,4,25,15,26,28,37,39,15.0,13.3
139,26.833000000000002,2018/02/12 21:09:01,2018/02/12,21:09:01,37,54,28,127,13,33,58,17,4,25,16,26,28,37,40,15.0,13.4
140,27.028000000000002,2018/02/12 21:20:41,2018/02/12,21:20:41,38,55,28,127,13,33,58,17,4,25,16,26,28,37,40,15.0,13.3
141,27.221999999999998,2018/02/12 21:32:21,2018/02/12,21:32:21,37,54,28,127,13,33,58,17,5,25,15,26,28,38,40,15.0,13.3
142,27.416999999999998,2018/02/12 21:44:01,2018/02/12,21:44:01,37,55,28,127,13,34,58,17,4,25,16,26,28,38,40,15.0,13.3
143,27.611,2018/02/12 21:55:41,2018/02/12,21:55:41,38,55,29,127,13,34,59,17,5,25,15,26,29,38,40,15.0,13.3
144,27.805999999999997,2018/02/12 22:07:21,2018/02/12,22:07:21,38,55,28,127,13,34,59,17,5,26,16,26,29,38,40,15.0,13.2
145,28.0,2018/02/12 22:19:01,2018/02/12,22:19:01,38,56,28,128,12,34,59,17,5,26,15,26,29,38,40,15.0,13.1
146,28.194000000000003,2018/02/12 22:30:41,2018/02/12,22:30:41,38,56,29,128,12,34,59,17,4,26,16,27,28,38,40,15.0,13.0
147,28.389,2018/02/12 22:42:21,2018/02/12,22:42:21,38,55,28,128,13,34,59,17,5,26,15,26,28,38,41,15.0,13.0
148,28.583000000000002,2018/02/12 22:54:01,2018/02/12,22:54:01,38,55,29,128,12,34,59,17,5,26,16,27,28,38,41,15.0,12.9
149,28.778000000000002,2018/02/12 23:05:41,2018/02/12,23:05:41,38,56,29,128,13,34,60,17,5,26,16,27,29,38,41,15.0,12.8
150,28.971999999999998,2018/02/12 23:17:21,2018/02/12,23:17:21,38,56,29,128,13,34,59,17,5,26,16,27,28,38,41,15.0,12.8
151,29.166999999999998,2018/02/12 23:29:01,2018/02/12,23:29:01,38,56,29,128,13,34,59,18,5,26,16,27,29,38,41,15.0,12.9
152,29.361,2018/02/12 23:40:41,2018/02/12,23:40:41,38,56,29,129,13,35,60,17,5,26,16,27,30,39,41,15.0,13.0
153,29.555999999999997,2018/02/12 23:52:21,2018/02/12,23:52:21,38,57,29,129,13,34,60,17,5,26,16,27,29,39,42,15.0,13.0
154,29.75,2018/02/13 00:04:01,2018/02/13,00:04:01,38,57,29,129,13,35,60,17,5,26,16,27,29,39,41,15.0,13.0
155,29.944000000000003,2018/02/13 00:15:41,2018/02/13,00:15:41,39,57,29,128,13,35,60,18,6,27,16,27,29,39,42,15.0,12.9
156,30.139,2018/02/13 00:27:21,2018/02/13,00:27:21,39,57,29,129,13,35,60,18,5,26,16,27,29,39,42,15.0,12.8
157,30.333000000000002,2018/02/13 00:39:01,2018/02/13,00:39:01,38,57,29,129,13,35,61,17,5,26,16,27,29,39,42,15.0,12.9
158,30.528000000000002,2018/02/13 00:50:41,2018/02/13,00:50:41,38,57,29,129,13,34,60,17,6,27,16,27,29,40,42,15.0,13.0
159,30.721999999999998,2018/02/13 01:02:21,2018/02/13,01:02:21,38,58,29,129,13,35,61,17,6,27,16,27,29,39,42,15.0,12.9
160,30.916999999999998,2018/02/13 01:14:01,2018/02/13,01:14:01,39,58,29,129,13,35,61,18,6,27,16,27,29,39,42,15.0,12.8
161,31.111,2018/02/13 01:25:41,2018/02/13,01:25:41,39,58,30,129,13,35,61,18,6,27,16,28,29,39,42,15.0,12.9
162,31.305999999999997,2018/02/13 01:37:21,2018/02/13,01:37:21,39,58,30,129,13,35,61,18,6,27,16,28,29,40,42,15.0,12.9
163,31.5,2018/02/13 01:49:01,2018/02/13,01:49:01,39,58,29,130,13,35,61,18,6,27,16,27,29,40,43,15.0,12.8
164,31.694000000000003,2018/02/13 02:00:41,2018/02/13,02:00:41,39,58,29,130,13,36,61,18,6,27,16,27,29,40,43,15.0,12.8
165,31.889,2018/02/13 02:12:21,2018/02/13,02:12:21,39,58,30,130,13,35,61,18,6,27,16,27,29,40,43,15.0,12.8
166,32.083,2018/02/13 02:24:01,2018/02/13,02:24:01,39,58,30,129,13,35,62,18,6,27,16,28,30,40,43,15.0,12.7
167,32.278,2018/02/13 02:35:41,2018/02/13,02:35:41,39,59,30,130,13,36,62,18,6,27,17,28,30,40,43,15.0,12.6
168,32.472,2018/02/13 02:47:21,2018/02/13,02:47:21,39,59,31,130,13,36,62,18,7,28,16,28,30,40,43,15.0,12.6
169,32.667,2018/02/13 02:59:01,2018/02/13,02:59:01,40,59,30,130,13,36,62,18,6,27,16,27,30,41,43,15.0,12.4
170,32.861,2018/02/13 03:10:41,2018/02/13,03:10:41,40,59,30,130,13,36,62,18,6,27,16,28,30,41,43,15.0,12.3
171,33.056,2018/02/13 03:22:21,2018/02/13,03:22:21,40,60,30,130,13,36,62,18,6,27,16,28,30,41,44,15.0,12.4
172,33.25,2018/02/13 03:34:01,2018/02/13,03:34:01,39,59,30,131,13,36,62,18,6,27,16,28,30,41,43,15.0,12.2
173,33.444,2018/02/13 03:45:41,2018/02/13,03:45:41,40,60,30,130,13,36,62,18,6,27,16,28,30,41,44,15.0,12.5
174,33.639,2018/02/13 03:57:21,2018/02/13,03:57:21,40,60,31,130,13,36,62,18,7,27,16,28,30,41,44,15.0,12.3
175,33.833,2018/02/13 04:09:01,2018/02/13,04:09:01,40,60,30,130,13,36,62,18,6,28,16,28,30,41,44,15.0,12.6
176,34.028,2018/02/13 04:20:41,2018/02/13,04:20:41,40,60,30,130,13,36,63,18,7,27,16,28,30,41,44,15.0,12.3
177,34.222,2018/02/13 04:32:21,2018/02/13,04:32:21,40,60,30,130,13,36,63,18,7,28,17,28,30,41,44,15.0,12.1
178,34.417,2018/02/13 04:44:01,2018/02/13,04:44:01,40,60,30,130,14,36,63,18,6,28,16,28,30,41,44,15.0,12.1
179,34.611,2018/02/13 04:55:41,2018/02/13,04:55:41,40,60,31,130,13,36,63,18,7,28,16,28,30,41,44,15.0,11.9
180,34.806,2018/02/13 05:07:21,2018/02/13,05:07:21,40,61,30,130,13,37,63,18,7,27,16,29,30,41,44,15.0,11.7
181,35.0,2018/02/13 05:19:01,2018/02/13,05:19:01,41,61,30,130,13,37,63,18,7,28,16,28,30,41,45,15.0,11.7
182,35.194,2018/02/13 05:30:41,2018/02/13,05:30:41,40,61,30,131,13,37,63,18,7,28,16,28,30,42,44,15.0,11.6
183,35.389,2018/02/13 05:42:21,2018/02/13,05:42:21,40,61,31,130,13,36,64,18,7,28,17,28,30,42,44,15.0,11.7
184,35.583,2018/02/13 05:54:01,2018/02/13,05:54:01,40,62,31,130,13,37,64,18,7,28,16,29,30,42,45,15.0,11.6
185,35.778,2018/02/13 06:05:41,2018/02/13,06:05:41,40,61,30,131,13,37,63,18,7,28,17,29,30,42,45,15.0,11.4
186,35.972,2018/02/13 06:17:21,2018/02/13,06:17:21,40,62,31,131,13,37,64,18,7,28,16,28,30,42,45,15.0,11.5
187,36.167,2018/02/13 06:29:01,2018/02/13,06:29:01,41,62,31,131,13,37,64,18,7,28,16,29,31,42,45,15.0,11.4
188,36.361,2018/02/13 06:40:41,2018/02/13,06:40:41,41,62,31,131,13,37,64,18,7,28,16,29,31,42,45,15.0,11.3
189,36.556,2018/02/13 06:52:21,2018/02/13,06:52:21,40,62,31,131,13,37,64,19,7,28,16,29,31,42,45,15.0,11.3
190,36.75,2018/02/13 07:04:01,2018/02/13,07:04:01,40,63,31,131,13,37,64,19,8,28,16,29,30,43,45,15.0,11.1
191,36.944,2018/02/13 07:15:41,2018/02/13,07:15:41,41,63,31,131,13,37,64,18,7,28,17,29,31,42,46,15.0,11.1
192,37.139,2018/02/13 07:27:21,2018/02/13,07:27:21,41,63,31,131,13,37,64,19,7,28,16,28,30,42,46,15.0,10.9
193,37.333,2018/02/13 07:39:01,2018/02/13,07:39:01,41,63,31,131,13,37,64,19,8,28,17,29,31,42,46,15.0,11.2
194,37.528,2018/02/13 07:50:41,2018/02/13,07:50:41,41,64,31,131,13,38,64,18,8,28,16,29,31,43,45,15.0,11.9
195,37.722,2018/02/13 08:02:21,2018/02/13,08:02:21,41,63,32,131,14,38,65,19,7,28,17,29,31,43,46,15.0,11.9
196,37.917,2018/02/13 08:14:01,2018/02/13,08:14:01,41,64,31,131,13,38,65,19,7,29,17,29,31,43,46,15.0,11.5
197,38.111,2018/02/13 08:25:41,2018/02/13,08:25:41,41,64,31,132,14,38,65,19,7,29,17,29,31,43,46,15.0,11.4
198,38.306,2018/02/13 08:37:21,2018/02/13,08:37:21,41,64,31,131,14,38,65,19,8,29,17,29,31,43,45,15.0,11.4
